# ib - T - <M>b - <M> - sigma_M
   4490 1.00  0.28090780  0.23031066  0.00067433
   4500 1.00  0.27496147  0.23048836  0.00067398
   4510 1.00  0.25809073  0.23061636  0.00067254
   4520 1.00  0.25672462  0.23071403  0.00067058
   4530 1.00  0.26733092  0.23083589  0.00066905
   4540 1.00  0.27677790  0.23102113  0.00066899
   4550 1.00  0.27209129  0.23117026  0.00066804
   4560 1.00  0.24939584  0.23128209  0.00066654
   4570 1.00  0.26549515  0.23138768  0.00066482
   4580 1.00  0.23414500  0.23145808  0.00066273
   4590 1.00  0.24608564  0.23149819  0.00066031
   4600 1.00  0.24230109  0.23155650  0.00065806
   4610 1.00  0.22667542  0.23157140  0.00065558
   4620 1.00  0.23040393  0.23157297  0.00065309
   4630 1.00  0.25808545  0.23161147  0.00065087
   4640 1.00  0.26183891  0.23170958  0.00064915
   4650 1.00  0.27476339  0.23185349  0.00064831
   4660 1.00  0.27804866  0.23202576  0.00064816
   4670 1.00  0.29491105  0.23221580  0.00064855
   4680 1.00  0.30704954  0.23246008  0.00065076
   4690 1.00  0.31316806  0.23274257  0.00065445
   4700 1.00  0.31592290  0.23304393  0.00065895
   4710 1.00  0.30137835  0.23331842  0.00066223
   4720 1.00  0.30711014  0.23358467  0.00066516
   4730 1.00  0.30159898  0.23383742  0.00066754
   4740 1.00  0.28334346  0.23405848  0.00066879
   4750 1.00  0.26932112  0.23418781  0.00066763
   4760 1.00  0.25648839  0.23426729  0.00066570
   4770 1.00  0.26355128  0.23438165  0.00066429
   4780 1.00  0.26468086  0.23448700  0.00066274
   4790 1.00  0.25602493  0.23456947  0.00066089
   4800 1.00  0.26486264  0.23465904  0.00065914
   4810 1.00  0.24723813  0.23474068  0.00065734
   4820 1.00  0.24715660  0.23480032  0.00065528
   4830 1.00  0.25023907  0.23485741  0.00065324
   4840 1.00  0.25235316  0.23490224  0.00065111
   4850 1.00  0.26318632  0.23499125  0.00064946
   4860 1.00  0.27005890  0.23509004  0.00064795
   4870 1.00  0.27001488  0.23521401  0.00064688
   4880 1.00  0.25362726  0.23533346  0.00064579
   4890 1.00  0.25452364  0.23539415  0.00064384
   4900 1.00  0.26683281  0.23548689  0.00064231
   4910 1.00  0.25549128  0.23557593  0.00064074
   4920 1.00  0.24917007  0.23563096  0.00063880
   4930 1.00  0.28070617  0.23573307  0.00063749
   4940 1.00  0.28061224  0.23589380  0.00063735
   4950 1.00  0.27327718  0.23603746  0.00063681
   4960 1.00  0.28345264  0.23618398  0.00063636
   4970 1.00  0.30011099  0.23639848  0.00063785
   4980 1.00  0.30296137  0.23661320  0.00063932
   4990 1.00  0.29755316  0.23684312  0.00064132
   5000 1.00  0.27467097  0.23700139  0.00064119
   5010 1.00  0.26440495  0.23711064  0.00064001
   5020 1.00  0.26566058  0.23719208  0.00063842
   5030 1.00  0.26544984  0.23729230  0.00063710
   5040 1.00  0.27048394  0.23740884  0.00063608
